mjd,mag,mage,clcoeff
1927.746582,14.028,0.038,
1929.680176,14.029,0.045,
1931.649414,14.031,0.044,
1933.749512,14.041,0.044,
1935.685547,14.034,0.045,
1937.691895,14.031,0.042,
1938.678711,14.031,0.036,
1939.614746,14.028,0.047,
1940.59082,14.027,0.039,
1941.617432,14.011,0.045,
1943.79248,14.023,0.041,
1945.746582,14.005,0.028,
1946.765625,14.013,0.019,
1951.722168,14.041,0.032,
1953.70752,14.055,0.035,
1955.678711,14.049,0.040,
1957.668945,14.031,0.043,
1959.646973,14.018,0.045,
1962.732422,14.004,0.050,
1965.601074,13.998,0.044,
1968.633789,14.011,0.046,
1970.602295,14.001,0.045,
1973.604492,14.022,0.041,
1976.602051,14.039,0.026,
1979.607178,14.073,0.026,
1981.590576,14.096,0.043,
1987.591064,14.157,0.036,
1993.571777,14.213,0.036,
1998.544922,14.217,0.033,
2001.582031,14.167,0.037,
2007.54248,14.156,0.025,
2009.515137,14.153,0.034,
2014.543945,14.098,0.036,
2017.558594,14.098,0.038,
2027.557617,14.080,0.029,
2031.513672,14.077,0.030,
2038.541016,14.097,0.025,
2049.481445,14.130,0.043,
2056.460449,14.155,0.039,
2081.921387,13.967,0.042,
2093.928711,13.980,0.037,
2104.880859,14.077,0.041,
2113.865234,14.129,0.026,
2127.827148,13.985,0.016,
2130.827148,13.969,0.034,
2133.931641,13.930,0.022,
2140.830566,13.908,0.047,
2144.801758,13.964,0.049,
2155.786133,14.128,0.014,
2162.750977,14.370,0.043,
2167.794434,14.576,0.036,
2169.788086,14.648,0.023,
2172.78418,14.806,0.035,
2174.779297,14.910,0.036,
2183.764648,15.640,0.024,
2184.751953,15.746,0.025,
2185.676758,15.874,0.026,
2187.765625,16.124,0.028,
2190.744141,16.481,0.031,
2191.735352,16.624,0.033,
2193.765137,16.917,0.033,
2195.714844,17.214,0.038,
2196.618164,17.314,0.041,
2198.833984,17.791,0.042,
2200.777344,18.269,0.062,
2202.685547,18.782,0.088,
2203.788086,19.278,0.117,
2206.80957,19.997,0.606,
2207.794922,20.027,0.548,
2214.605469,20.027,0.712,
2216.627441,21.090,1.521,
2218.845215,19.906,0.364,
2224.775879,21.415,0.907,
2227.625,21.024,1.577,
2229.62207,21.015,0.987,
2230.615234,21.457,1.074,
2238.584961,21.144,1.025,
2240.604492,20.572,1.089,
2241.80957,20.809,1.012,
2243.845703,21.406,1.064,
2245.669922,20.507,1.594,
2248.800781,20.958,1.420,
2251.660156,20.709,1.574,
2257.650879,20.690,0.925,
2259.628906,20.952,1.632,
2261.609375,20.710,0.739,
2270.629883,20.982,1.577,
2298.721191,19.952,0.458,
2299.756836,21.176,0.935,
2301.703613,19.675,0.737,
2302.697266,19.597,0.627,
2305.697266,20.171,0.900,
2307.675293,21.377,0.935,
2310.682129,20.870,1.555,
2312.727539,20.036,0.502,
2315.686035,20.865,0.983,
2317.655762,20.250,0.544,
2319.65332,21.172,0.661,
2320.65332,21.014,1.577,
2322.644531,20.231,0.465,
2324.610352,21.386,1.152,
2325.642578,20.573,0.603,
2327.661133,20.834,1.577,
2329.657227,20.006,0.422,
2330.608398,20.712,1.577,
2335.649414,19.733,0.479,
2343.581055,21.050,1.596,
2345.569336,20.876,1.271,
2346.609375,20.401,0.885,
2347.571289,20.217,0.636,
2350.594727,21.025,1.407,
2352.658203,20.588,1.683,
2354.563477,20.565,1.003,
2392.503906,20.312,1.442,
2397.495117,20.396,0.844,
2403.522949,20.310,0.884,
2425.477539,19.621,0.905,
2466.898926,20.070,0.482,
2483.87793,19.605,0.409,
2488.879883,19.924,0.824,
2504.80957,19.199,1.372,
2508.856445,19.581,0.571,
2511.814941,19.046,0.175,
2518.813477,18.930,0.138,
2519.835938,18.868,0.098,
2534.783691,17.969,0.062,
2535.826172,18.026,0.054,
2536.741699,17.924,0.135,
2545.792969,17.842,0.056,
2547.789551,17.829,0.068,
2548.78125,17.803,0.059,
2551.765625,17.855,0.055,
2552.764648,17.892,0.051,
2554.731445,17.869,0.057,
2556.715332,17.986,0.054,
2558.774414,18.066,0.059,
2561.684082,18.197,0.083,
2562.723633,18.239,0.064,
2564.699219,18.284,0.084,
2566.815918,18.230,0.102,
2572.712402,18.690,0.158,
2578.698242,18.598,0.100,
2579.682617,18.749,0.095,
2580.694336,18.750,0.093,
2582.675293,18.738,0.110,
2584.547363,18.504,0.200,
2584.581055,18.795,0.244,
2584.825195,18.725,0.081,
2591.563965,19.135,0.723,
2591.734375,19.014,0.202,
2593.862305,18.958,0.404,
2594.786133,18.867,0.569,
2597.55957,19.062,0.220,
2597.850098,19.291,0.424,
2601.612305,18.948,0.132,
2601.859375,18.969,0.136,
2604.801758,19.001,0.083,
2607.549805,19.085,0.205,
2607.791016,19.164,0.125,
2611.583008,19.121,0.144,
2614.57666,19.184,0.138,
2614.805664,19.154,0.131,
2627.754883,19.036,0.224,
2630.584961,19.515,0.242,
2630.806152,19.566,0.288,
2633.568359,20.043,0.301,
2633.783203,19.739,0.290,
2636.576172,20.473,0.407,
2636.802734,20.157,0.534,
2639.689453,20.318,0.403,
2639.78418,20.596,0.643,
2642.570312,19.947,0.337,
2642.714355,21.149,1.577,
2645.648438,20.827,0.674,
2645.71582,20.884,0.769,
2648.572266,21.086,1.299,
2648.786621,20.580,0.583,
2651.56543,20.086,0.452,
2651.849609,21.053,1.577,
2651.861328,20.639,1.364,
2655.702148,20.486,0.697,
2655.743164,20.195,0.394,
2658.576172,20.451,0.933,
2658.761719,19.662,0.556,
2658.849121,19.131,1.577,
2661.700684,20.349,0.664,
2661.810547,20.781,1.577,
2664.571289,21.466,0.831,
2664.784668,20.450,1.095,
2673.569824,20.859,1.164,
2673.794922,20.656,0.682,
2680.701172,20.410,0.735,
2683.583008,21.466,0.905,
2686.569336,21.460,1.086,
