mjd,mag,magerr,clrcoeff
5866.78670,14.478,0.005,
5867.72412,14.541,0.005,
5868.82705,14.296,0.005,
5869.79257,14.406,0.005,
5870.73240,14.488,0.005,
5871.71844,14.479,0.005,
5872.72781,14.320,0.005,
5873.72300,14.417,0.005,
5874.75661,14.504,0.005,
5875.69252,14.350,0.005,
5878.71229,14.516,0.005,
5879.67753,14.244,0.005,
5880.72896,14.360,0.005,
5880.77999,14.376,0.005,
5881.71560,14.456,0.005,
5882.74636,14.543,0.005,
5883.75031,14.274,0.005,
5886.71768,14.526,0.005,
5887.79002,14.312,0.005,
5888.77864,14.413,0.005,
5889.82504,14.503,0.005,
5890.75440,14.445,0.005,
5891.71304,14.325,0.005,
5892.73081,14.430,0.005,
5893.74892,14.512,0.005,
5894.77237,14.283,0.005,
5895.78947,14.357,0.005,
5896.77251,14.450,0.005,
5897.71931,14.524,0.005,
5898.70150,14.244,0.005,
5899.76068,14.376,0.005,
5900.71029,14.460,0.005,
5901.75959,14.548,0.005,
5902.71083,14.275,0.005,
5903.76599,14.398,0.005,
5904.74057,14.482,0.005,
5905.71465,14.539,0.005,
5906.72654,14.298,0.005,
5907.70293,14.408,0.005,
5908.72933,14.493,0.005,
5909.77443,14.420,0.005,
5910.68719,14.333,0.005,
5911.71906,14.428,0.005,
5912.73957,14.507,0.005,
5913.71146,14.312,0.005,
5914.73411,14.349,0.005,
5915.69110,14.444,0.005,
5916.74498,14.530,0.005,
5917.70861,14.248,0.005,
5922.72563,14.390,0.005,
5923.70189,14.476,0.005,
5924.68319,14.530,0.005,
5925.69721,14.308,0.005,
5926.70904,14.404,0.005,
5927.70801,14.488,0.005,
5929.68219,14.326,0.005,
5930.82735,14.426,0.005,
5931.64774,14.507,0.005,
5932.64517,14.353,0.005,
5933.69559,14.349,0.005,
5934.69206,14.432,0.005,
5935.64287,14.521,0.005,
5935.80636,14.537,0.005,
5936.63705,14.250,0.005,
5937.66728,14.366,0.005,
5938.66770,14.456,0.005,
5939.71140,14.535,0.005,
5940.74690,14.279,0.005,
5941.74767,14.392,0.005,
5942.77202,14.491,0.005,
5943.72950,14.524,0.005,
5944.72436,14.302,0.005,
5945.70264,14.405,0.005,
5946.64237,14.492,0.005,
5946.75925,14.492,0.005,
5947.70938,14.440,0.005,
5948.69864,14.319,0.005,
5949.71482,14.431,0.005,
5950.63587,14.503,0.005,
5951.66118,14.314,0.005,
5952.68575,14.351,0.005,
5953.68373,14.447,0.005,
5954.68131,14.520,0.005,
5955.70328,14.251,0.005,
5956.70396,14.364,0.005,
5958.72111,14.537,0.005,
5959.69242,14.277,0.005,
5961.62689,14.463,0.005,
5962.62782,14.541,0.005,
5963.59447,14.292,0.005,
5964.60646,14.402,0.005,
5967.62758,14.329,0.005,
5968.62768,14.412,0.005,
5969.60366,14.501,0.005,
5970.58116,14.364,0.005,
5971.67407,14.345,0.005,
5972.66044,14.427,0.005,
5973.64349,14.507,0.005,
5976.63270,14.448,0.005,
5977.66621,14.535,0.005,
5978.64210,14.272,0.005,
5979.59286,14.385,0.005,
5980.60852,14.470,0.005,
5981.63201,14.533,0.005,
5982.63788,14.293,0.005,
5983.68055,14.418,0.005,
5984.61955,14.487,0.005,
5985.65190,14.464,0.005,
5986.58165,14.315,0.005,
5987.65675,14.422,0.005,
5988.62310,14.502,0.005,
5989.58763,14.365,0.005,
5990.58112,14.355,0.005,
5991.65613,14.444,0.005,
5992.61634,14.523,0.005,
5993.57324,14.242,0.005,
5994.57193,14.352,0.005,
5995.61961,14.457,0.005,
5996.58972,14.554,0.005,
5997.59186,14.261,0.005,
5998.59021,14.391,0.005,
5998.65067,14.385,0.005,
5999.62896,14.464,0.005,
6000.60634,14.539,0.005,
6002.57007,14.408,0.005,
6003.53616,14.521,0.005,
6004.57495,14.562,0.005,
6005.54606,14.409,0.005,
6006.52584,14.595,0.005,
6007.51017,14.737,0.005,
6007.61336,14.746,0.005,
6007.61568,14.744,0.005,
6008.53688,14.618,0.005,
6008.59750,14.570,0.005,
6009.49379,14.606,0.005,
6009.57220,14.624,0.005,
6010.48667,14.791,0.005,
6010.58959,14.789,0.005,
6011.48213,14.876,0.006,
6011.55186,14.855,0.005,
6011.62340,14.865,0.005,
6012.52861,14.469,0.005,
6012.60483,14.451,0.005,
6013.53267,14.587,0.005,
6013.60528,14.599,0.005,
6014.55166,14.659,0.005,
6014.60077,14.667,0.005,
6015.54679,14.666,0.005,
6015.58192,14.675,0.005,
6016.58763,14.335,0.005,
6017.55051,14.407,0.005,
6018.50497,14.510,0.005,
6019.55072,14.546,0.005,
6020.57643,14.290,0.005,
6021.56451,14.397,0.005,
6022.57456,14.491,0.005,
6023.55006,14.505,0.005,
6024.57290,14.313,0.005,
6025.57293,14.420,0.005,
6026.51922,14.511,0.005,
6028.55600,14.331,0.005,
6033.48145,14.444,0.005,
6034.48707,14.531,0.005,
6035.51244,14.249,0.005,
6036.48927,14.382,0.005,
6037.48900,14.464,0.005,
6038.48070,14.542,0.005,
6039.48738,14.286,0.005,
6040.48967,14.398,0.005,
6042.48729,14.531,0.005,
6047.46436,14.327,0.005,
6048.46307,14.441,0.005,
6049.48640,14.516,0.005,
6050.46199,14.277,0.005,
6052.47769,14.448,0.005,
6053.47427,14.531,0.005,
6055.48333,14.371,0.005,
6056.47034,14.452,0.005,
6057.46621,14.542,0.005,
6058.45772,14.290,0.005,
6059.46751,14.405,0.005,
6060.47030,14.481,0.005,
6061.46077,14.510,0.005,
6123.90494,14.370,0.005,
6171.86850,14.335,0.005,
6173.91806,14.434,0.005,
6179.89452,14.266,0.005,
6184.89405,14.399,0.005,
6185.84373,14.475,0.005,
6191.87082,14.333,0.005,
6196.86257,14.454,0.005,
6199.81157,14.378,0.005,
6204.85410,14.481,0.005,
6207.86484,14.430,0.005,
6210.86358,14.345,0.005,
6219.79915,14.468,0.005,
6223.77042,14.482,0.005,
6225.71800,14.316,0.005,
6231.74156,14.516,0.005,
6232.80749,14.248,0.005,
6235.76490,14.536,0.005,
6238.81661,14.473,0.005,
6239.79059,14.545,0.005,
6240.83388,14.303,0.005,
6243.79886,14.499,0.005,
6244.73170,14.319,0.005,
6248.77280,14.339,0.005,
6265.79697,14.502,0.005,
6274.80462,14.269,0.005,
6278.75200,14.289,0.005,
6286.70813,14.335,0.005,
6289.77743,14.247,0.005,
6304.73582,14.372,0.005,
6312.67037,14.253,0.005,
6317.68148,14.646,0.005,
6323.65475,14.612,0.005,
6343.56076,14.337,0.005,
6356.60452,14.479,0.005,
6396.52581,14.295,0.005,
6404.51100,14.344,0.005,
6508.91631,14.517,0.005,
6520.87934,14.532,0.005,
6531.88859,14.529,0.005,
6547.85592,14.280,0.005,
6561.82391,14.462,0.005,
6569.89368,14.519,0.005,
6577.86391,14.510,0.005,
6583.77734,14.407,0.005,
6608.81750,14.246,0.005,
6612.75366,14.263,0.005,
6616.71552,14.291,0.005,
6622.76946,14.541,0.005,
6638.72244,14.476,0.005,
6645.72035,14.524,0.005,
6649.72686,14.537,0.005,
6654.74223,14.292,0.005,
6658.76151,14.322,0.005,
6662.72445,14.349,0.005,
6667.77903,14.442,0.005,
6672.76068,14.521,0.005,
6680.75496,14.281,0.005,
6690.63756,14.470,0.005,
6697.69828,14.418,0.005,
6712.63088,14.394,0.005,
6720.67030,14.429,0.005,
6871.90576,14.386,0.005,
6887.90866,14.462,0.005,
6896.87887,14.505,0.005,
6907.86146,14.537,0.005,
6926.79115,14.546,0.005,
6932.79948,14.458,0.005,
6938.78523,14.708,0.005,
6942.78270,14.450,0.005,
6950.83346,14.293,0.005,
6956.83623,14.505,0.005,
6961.83087,14.250,0.005,
6967.70222,14.466,0.005,
6973.70771,14.307,0.005,
6980.74455,14.276,0.005,
6987.77554,14.550,0.005,
6992.74764,14.315,0.005,
6997.75272,14.428,0.005,
7002.68911,14.517,0.005,
7007.71061,14.273,0.005,
7013.66397,14.488,0.005,
7016.76741,14.430,0.005,
7020.75831,14.454,0.005,
7024.74748,14.472,0.005,
7028.70062,14.462,0.005,
7033.75467,14.396,0.005,
7037.72680,14.268,0.005,
7042.72579,14.385,0.005,
7046.72698,14.401,0.005,
7051.71015,14.504,0.005,
7056.65795,14.429,0.005,
7062.64910,15.014,0.005,
7069.64583,14.583,0.005,
7074.65701,14.521,0.005,
7080.57337,14.381,0.005,
7083.60009,14.289,0.005,
7086.60817,14.554,0.005,
7091.58909,14.339,0.005,
7100.60466,14.464,0.005,
7103.55689,14.388,0.005,
7112.56906,14.508,0.005,
7115.56400,14.439,0.005,
7119.52413,14.446,0.005,
7126.51314,14.401,0.005,
7131.51771,14.498,0.005,
7134.48802,14.440,0.005,
7137.51791,14.361,0.005,
7143.48237,14.542,0.005,
7273.90266,14.334,0.005,
7274.91386,14.435,0.005,
7287.88996,14.553,0.005,
7292.81351,14.335,0.005,
7294.78470,14.504,0.005,
7297.78440,14.450,0.005,
7304.86291,14.400,0.005,
7312.78075,14.436,0.005,
7319.75011,14.357,0.005,
7322.73253,14.252,0.005,
7327.83641,14.409,0.005,
7339.74650,14.455,0.005,
7345.70459,14.300,0.005,
7354.78181,14.439,0.005,
7361.80411,14.389,0.005,
7366.67638,14.615,0.005,
7373.82984,15.005,0.005,
7377.80236,14.748,0.005,
7382.70021,14.542,0.005,
7385.71400,14.477,0.005,
7390.73515,14.347,0.005,
7399.74041,14.374,0.005,
7404.72997,14.475,0.005,
7408.70311,14.497,0.005,
7410.70448,14.335,0.005,
7413.66724,14.243,0.005,
7416.67409,14.528,0.005,
7424.61651,14.520,0.005,
7431.64070,14.504,0.005,
7435.63511,14.528,0.005,
7439.64165,14.538,0.005,
7443.61098,14.515,0.005,
7453.59385,14.434,0.005,
7462.60838,14.517,0.005,
7466.55606,14.424,0.005,
7472.56287,14.439,0.005,
7476.51855,14.453,0.005,
7488.47239,14.504,0.005,
7499.49560,14.463,0.005,
7507.46155,14.503,0.005,
